PatientAge,bmdtest_height,bmdtest_weight,bmdtest_tscore_fn,PatientGender,parentbreak,ptunsteady,whereliv,education,alcohol,wasfractdue2fall,ptfall,fxworried,notworking,marital,arthritis,cancer,diabetes,heartdisease,respdisease,howbreak,hip,ankle,clavicle,elbow,femur,spine,wrist,shoulder,tibfib
79,155,95,-2.3,1,0,1,2,3,0,1,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
91,155,62.5,-2,1,0,1,1,2,0,1,0,2,1,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
79,161,70,-3.2,2,0,1,2,7,0,1,0,3,1,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
87,159,84.7,-3.3,1,0,1,2,3,0,1,0,1,1,6,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
85,150,42,-2.9,1,0,0,1,2,0,1,0,2,1,6,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
69,154,76,-2.1,1,1,1,2,6,0,1,1,2,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
81,158,61.2,-2.1,1,0,1,2,2,0,1,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
73,152,53,-2.9,1,0,0,2,2,0,1,0,1,3,6,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
74,160,70.3,-1.2,1,0,0,2,4,0,1,0,0,1,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
60,163,57,-3.6,1,0,0,2,3,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
67,160,59.7,-3,1,0,0,1,4,0,1,0,0,1,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
82,162,90,-2.5,1,0,0,2,7,0,1,0,1,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
81,151,81.5,-2.6,1,0,1,2,3,0,1,0,1,1,5,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
81,150,58,-2.6,1,0,1,1,3,0,1,0,1,1,6,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
64,157,50.5,-3.3,1,0,0,2,4,0,1,0,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
74,157,71,-2.5,1,0,0,7,7,0,1,0,0,1,8,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
63,163.322,69.35427337,-0.7,1,1,0,1,7,0,1,0,1,1,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
69,162.5,83.2,-2.5,1,0,0,2,3,0,1,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
72,160,56.3,-3.5,2,0,0,2,3,0,1,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
83,155,74.3,-2.5,1,1,0,1,3,0,1,0,0,1,6,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
84,160.5,78.7,-1.6,1,0,1,2,3,0,1,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
88,152,51.2,-3.5,1,0,1,1,5,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
85,148.5,52,-2.6,1,2,0,1,1,0,1,0,1,1,6,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
69,171,99.9,-2.2,2,1,0,2,4,0,1,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
77,155,68,-2.9,1,0,0,1,2,0,1,0,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
88,142,79,-2,1,0,1,2,3,0,1,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
76,161,79,-2.5,1,0,0,2,7,0,1,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
68,158,63,-2.7,1,0,0,7,7,0,1,0,1,1,8,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
84,152,79.4,-1.9,1,2,1,4,3,0,1,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
66,154,52,-3.2,1,0,0,2,3,0,1,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
78,165.1,79.37866475,-2.2,1,1,1,2,2,0,1,1,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
73,150,55.3,-5.1,1,0,0,2,2,0,1,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
82,159,64,-1.8,1,0,1,1,5,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
84,157.5,57,-2.4,1,0,0,1,4,0,1,1,1,1,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
82,150.4,59.4,-1.8,1,2,3,1,3,0,1,1,3,1,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
76,146,90,-1.8,1,1,0,2,3,0,1,1,0,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
73,155,75,-2.5,1,0,0,2,4,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
78,154,52,-2.8,1,0,2,2,4,0,1,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
86,151,61.5,-3,1,0,0,1,3,0,1,0,2,1,6,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
93,159,64.5,-2.9,1,0,1,2,2,0,1,1,2,1,6,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
82,149.5,54,-2.6,1,2,0,1,3,0,1,0,1,1,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
63,167.5,49.4,-2.6,1,1,1,2,3,1,1,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
84,159.5,61,-2.7,1,1,0,1,3,0,1,0,1,1,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
72,145.5,63.3,-3.5,1,0,0,2,3,0,1,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
66,153.3,61.7,-2.8,1,0,0,2,2,0,1,0,1,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
67,159,51.5,-3.1,1,0,1,1,3,0,1,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
92,144,52.3,-4.6,1,0,0,1,2,0,0,0,0,1,6,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
80,142.5,83.5,-2.8,1,0,1,2,2,0,1,1,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
89,162.56,53.52389966,-2.1,1,0,1,2,2,0,1,0,1,1,6,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
71,160,77.7,-1.9,1,1,0,2,2,0,1,1,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
72,157,51.8,-2.8,1,0,0,2,3,0,1,0,1,1,2,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
70,151.5,72.2,-2.9,1,1,0,2,3,0,1,2,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
85,138,58,-3,1,1,1,1,3,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
85,156,68,-1.9,1,0,0,1,6,0,1,0,1,1,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
81,156,54.5,-2.8,1,0,0,2,3,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
74,165,52,-3.2,1,0,2,2,3,0,1,0,1,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
80,154,41,-2.5,1,0,0,1,6,0,1,0,2,1,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
82,151,60,-1.2,1,0,0,4,3,1,1,2,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
82,161.5,50.3,-2.6,1,0,0,1,3,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
81,155,97.6,-2.7,1,0,1,4,3,0,1,0,2,1,6,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
68,159,66,-1.7,1,1,1,1,4,0,1,1,1,1,6,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
90,176,86.5,-2.2,1,0,1,4,2,0,1,1,2,1,6,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
88,151,61.8,-2.5,1,0,0,2,4,0,1,0,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
82,167,50,-2.4,1,0,1,2,4,0,1,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
70,170,65,-1.5,1,1,0,1,3,0,1,0,0,1,6,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
62,167.64,58.05982336,-1.4,1,1,1,2,3,0,1,1,1,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
85,152.5,57.7,-2.6,1,2,0,1,3,0,1,0,1,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
77,151,51.5,-0.9,1,1,0,1,3,0,1,1,1,1,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
58,175,77,-2.4,1,1,1,1,3,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
79,148,60,-1.9,1,2,0,2,4,0,1,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
90,155,47,-2.8,1,0,1,4,6,0,1,0,2,1,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
92,152,46.3,-3.2,1,0,1,1,3,0,1,1,0,1,6,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0
85,153.5,62.8,-2.6,1,0,0,2,3,0,1,0,1,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
68,157.2,73,-2.5,1,0,2,1,3,0,1,0,1,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
73,168,58.3,-1.4,1,1,0,2,3,0,1,0,1,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
74,170,87,-3.4,1,2,0,1,3,0,1,0,1,1,6,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0
85,151,55,-2.7,1,0,0,4,3,0,1,0,1,1,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
82,157.48,59.42060047,-1.9,1,1,0,2,3,0,1,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
80,160,76.4,-2.2,1,0,1,1,4,0,1,0,0,1,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
87,156.2,53.9,-1.8,1,0,0,1,3,0,1,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
79,155.5,63.7,-2.4,1,1,0,2,3,0,1,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
66,167.64,112.4909078,-2,1,1,0,2,2,0,1,0,1,1,2,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
60,165,73.4,-2,1,1,0,2,4,0,1,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
69,165.1,71.66759446,-2.5,1,0,0,2,4,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
73,156,70,-2.3,1,0,0,1,4,0,1,0,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
61,174.5,62.7,-1.7,1,1,0,1,3,0,1,0,2,2,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
72,160.655,80.73944186,-1.3,1,1,0,1,3,0,1,0,0,1,6,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
75,156,48,-3.1,1,0,1,2,3,0,1,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
60,160,86.4,-2.7,1,1,0,2,4,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
74,156,61,-2.6,1,0,0,2,4,0,1,0,0,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
83,153,70,-3.7,1,2,1,2,1,0,1,1,1,3,6,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0
68,182.88,86.1825503,-1.9,2,1,0,2,4,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
69,149.86,72.5747792,-2.6,1,0,1,2,3,0,1,1,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
71,170,88.9,-1.4,1,1,1,2,4,0,1,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
87,150,52.2,-2.6,1,0,0,1,4,0,1,1,0,1,6,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
83,165.5,97,-2.2,1,0,1,1,2,0,1,1,2,1,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
