,Unnamed: 0,PatientAge,PatientGender,bmdtest_weight,bmdtest_height,heartdisease,diabetes,arthritis,respdisease,smoke,alcohol,oralster
0,0,-0.4572307212618742,-0.1754140355729015,-0.3747095654789877,-0.1122150947988211,-0.0895224983424319,-0.0505415470460276,-0.0746222863240653,-0.0350125342699728,-0.0797496338209321,-0.0209452695212688,-0.0123206220687217
1,1,-0.4601046930317544,-0.1613676228898263,-0.3852982419622489,-0.1588407939508801,-0.0713715052025967,-0.0379318077379563,-0.0583834913650508,-0.0690855055395996,-0.1000042421848987,-0.0353218835871753,-0.0203838453556909
2,2,-0.4610891370972326,-0.1642752673648624,-0.3841726018492487,-0.1276521915148798,-0.077395503760145,-0.0645222575358811,-0.0933511017239213,-0.0431272837285902,-0.0670863085199776,-0.029141908200475,-0.0184071372062197
3,3,-0.5063784333214222,-0.1234319644284014,-0.3696008190735637,-0.1425821740615995,-0.0578904692526178,-0.0714393748313284,-0.0890971798518946,-0.0878372226394504,-0.0973727695911103,-0.0355132246776991,-0.0188249318085573
4,4,-0.4547812794732925,-0.1448916297592931,-0.3597884018905369,-0.1236061578228731,-0.0846707112015884,-0.0541978839248564,-0.1042250322302168,-0.0614897086260136,-0.0735619507563413,-0.0297571911502304,-0.0178300704424384
5,5,-0.453050972572287,-0.1546436134444121,-0.4588144686619719,-0.1399410194701374,-0.0968783305102589,-0.0824055626384886,-0.1001941201791668,-0.0595250932312045,-0.0924970872386212,-0.0319583186152114,-0.0228079932376567
6,6,-0.5067331405489465,-0.1426003597000855,-0.3777767617847417,-0.144077750356273,-0.0816676244997436,-0.0798810465004341,-0.0710469302684655,-0.0497780892921982,-0.0817371024576526,-0.0218368219776803,-0.0177425725249505
7,7,-0.4268442922573031,-0.1624427512935616,-0.3536275056077551,-0.1270833906399092,-0.0681467525778384,-0.0568490883377401,-0.0931802883836976,-0.0552408067273063,-0.083847528806477,-0.0397269744713865,-0.0203535540819387
8,8,-0.4482605634841871,-0.1940351984493099,-0.4451802654174617,-0.1418082482643965,-0.0708146665927026,-0.0779568841178983,-0.0718005285544356,-0.0629720170689631,-0.0980004338193439,-0.0367458814352414,-0.0276397171194763
9,9,-0.496827424337385,-0.1473413769015004,-0.4311170017476501,-0.1528582409494525,-0.0827960371842184,-0.0679959389318604,-0.090881666216119,-0.0627428417191068,-0.072556336016617,-0.0297324610395236,-0.0192321848856726
10,10,-0.4939224741970885,-0.1564566103582444,-0.334595696669506,-0.122637261318937,-0.0684234857130744,-0.0829259395410008,-0.0818432022240096,-0.0537241151094073,-0.0888982595781646,-0.0163074096083504,-0.0060506043571972
11,11,-0.4752844157586481,-0.1103596598532415,-0.355609799341405,-0.1394837120790606,-0.0723311090954177,-0.0780435433599331,-0.0966033067384487,-0.0728691000693039,-0.0949624129953852,-0.0410922627294541,-0.0070886118974843
12,12,-0.527273014889445,-0.1638113438592137,-0.3339408123158087,-0.1535377136640624,-0.0895936911708451,-0.076779050368961,-0.0844081223157772,-0.043058445149692,-0.0861827979540874,-0.0273328039420666,-0.0102451934236437
13,13,-0.5420779546086355,-0.1299763964557984,-0.424654221736798,-0.1298745822467302,-0.0743818925560326,-0.0558438138152517,-0.0979042849605243,-0.0517487325274423,-0.0665760541876994,-0.0269720398640723,-0.0097374118691864
14,14,-0.4137705309316178,-0.1349892566462239,-0.4318385829328219,-0.1285688945999321,-0.0760587131337728,-0.0845974107518462,-0.1022967023041638,-0.0452683951264758,-0.0755237700638299,-0.022869628544796,-0.011178178035031
15,15,-0.524684797898492,-0.1570554910932008,-0.3950214230771758,-0.1518180495755421,-0.0846507117170285,-0.0652937859573071,-0.081414139022663,-0.055811369738094,-0.0615371810317273,-0.0288663593271721,-0.0149537950366478
16,16,-0.4120364892512201,-0.1491307490860612,-0.4682231693693112,-0.1272961003345496,-0.0578405252090761,-0.0657389872732957,-0.060148405178398,-0.0569406971739552,-0.0855614146966368,-0.0223406533872104,-0.0180624806072454
17,17,-0.4439760094407573,-0.1908435410500792,-0.3863293649031856,-0.1394497295797978,-0.0819354161392251,-0.0705222932096658,-0.111951307078188,-0.0476664783607619,-0.1043471526013306,-0.0325618262177703,-0.0206886094583389
