['sci_gender', 1.4304655390805514]
['sci_age_gender', 1.2525230754450447]
['sci_age_bmi', 0.8230407437961158]
['sci_gender_bmi', 0.7208029042010297]
['sci_age', 0.6799936320873546]
['sci_bmi', 0.6539255567831387]
['sci_wrist', 0.19972730034356917]
['sci_alcohol', 0.12857699395355537]
['sci_shoulder', 0.12767802967723302]
['sci_elbow', 0.09942343485392426]
['sci_heartdisease', 0.08596501597277029]
['sci_smoke', 0.07842589624758972]
['sci_arthritis', 0.06538266411791217]
['sci_tibfib', 0.0647638727402342]
['sci_clavicle', 0.05635137925078421]
['sci_cancer', 0.04529402587046563]
['sci_parentbreak', 0.044571930601296654]
['sci_respdisease', 0.038357387193785945]
['sci_femur', 0.032486468553397894]
